hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
323,0.95242261357602,143.21061078052895,0,low,0,low,"low trees, low pop"
324,28.081588764458807,1369.6190303048884,0,low,0,low,"low trees, low pop"
325,42.70809453752164,1097.093170447151,1,medium,0,low,"medium trees, low pop"
326,26.332334807801473,5302.285726904109,0,low,2,high,"low trees, high pop"
327,0.0,0.0,0,low,0,low,"low trees, low pop"
328,43.982042222453074,3500.4454648799174,1,medium,2,high,"medium trees, high pop"
329,22.81798121582669,10342.397198205195,0,low,2,high,"low trees, high pop"
330,38.315349422885184,4133.537209930257,1,medium,2,high,"medium trees, high pop"
331,69.05816593376579,1144.7563146150908,2,high,0,low,"high trees, low pop"
332,9.70507783763919,7639.892146309471,0,low,2,high,"low trees, high pop"
333,28.74487167470346,4574.13135039853,0,low,2,high,"low trees, high pop"
334,38.49981518575122,3529.490443472436,1,medium,2,high,"medium trees, high pop"
335,40.98419538960851,5458.0389901198605,1,medium,2,high,"medium trees, high pop"
336,0.74238529720826,50.88969517726743,0,low,0,low,"low trees, low pop"
337,37.699740519724564,1743.6299132289057,1,medium,1,medium,"medium trees, medium pop"
338,49.13943569295852,2395.7395927376024,2,high,1,medium,"high trees, medium pop"
339,24.20243624089679,6111.683418491774,0,low,2,high,"low trees, high pop"
340,8.36193811932854,23154.67130375283,0,low,2,high,"low trees, high pop"
341,11.289248454475539,3316.592470422759,0,low,2,high,"low trees, high pop"
342,53.78243129986574,532.573640682351,2,high,0,low,"high trees, low pop"
343,33.654567078869576,2258.543632388042,1,medium,1,medium,"medium trees, medium pop"
344,19.58844286322777,320.4799973931967,0,low,0,low,"low trees, low pop"
345,0.0,0.6173152541851296,0,low,0,low,"low trees, low pop"
346,45.993408978816284,1971.6358773319523,2,high,1,medium,"high trees, medium pop"
347,18.1556924675117,2258.765701743317,0,low,1,medium,"low trees, medium pop"
348,47.93502729924593,2868.9704625765485,2,high,1,medium,"high trees, medium pop"
349,45.81465146890843,348.22351617093625,2,high,0,low,"high trees, low pop"
350,31.07408027261084,3995.9853511212505,1,medium,2,high,"medium trees, high pop"
351,19.55127899702416,4181.130555573982,0,low,2,high,"low trees, high pop"
352,37.70115436563757,5044.634871221467,1,medium,2,high,"medium trees, high pop"
353,59.45746176386078,636.7327138746193,2,high,0,low,"high trees, low pop"
354,53.24575360901333,906.766955894714,2,high,0,low,"high trees, low pop"
355,67.34214028812536,1362.1806801511964,2,high,0,low,"high trees, low pop"
356,9.28927596240362,1475.797122975658,0,low,0,low,"low trees, low pop"
357,22.7257924627311,3626.225748514595,0,low,2,high,"low trees, high pop"
358,16.01908921780899,15922.329392451866,0,low,2,high,"low trees, high pop"
