city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
2927.0,71,Prague,Czech Republic,CZE,0.161919730836538,0.1118608039851813,"[0.16, 0.18)","POLYGON ((14.440328113777811 50.07636439053778, 14.440328113777811 50.08536152755486, 14.45425937724622 50.08536152755486, 14.45425937724622 50.07636439053778, 14.440328113777811 50.07636439053778))"
2965.0,67,Ljubljana,Slovenia,SVN,0.099972755584556,0.1443726418092511,"[0.08, 0.1)","POLYGON ((14.506730422102674 46.049077910846734, 14.506730422102674 46.058075047842394, 14.519612212215144 46.058075047842394, 14.519612212215144 46.049077910846734, 14.506730422102674 46.049077910846734))"
2971.0,145,Tripoli,Libya,LBY,0.01309852144332,0.5088601471237036,"[0.0, 0.02)","POLYGON ((13.16399744519469 32.88606621753045, 13.16399744519469 32.89506335447307, 13.17464372282528 32.89506335447307, 13.17464372282528 32.88606621753045, 13.16399744519469 32.88606621753045))"
2973.0,339,Stockholm,Sweden,SWE,0.29715414830931,0.0709181351030269,"[0.28, 0.3)","POLYGON ((18.09053524021364 59.28105676762302, 18.09053524021364 59.29005390470633, 18.108038125982635 59.29005390470633, 18.108038125982635 59.28105676762302, 18.09053524021364 59.28105676762302))"
3027.0,415,Vienna,Austria,AUT,0.047987961915267,0.1118936843097761,"[0.04, 0.06)","POLYGON ((16.33959469270214 48.18912013326853, 16.33959469270214 48.19811727027514, 16.353005382758944 48.19811727027514, 16.353005382758944 48.18912013326853, 16.33959469270214 48.18912013326853))"
3032.0,106,Zagreb,Croatia,HRV,0.08969227292829,0.1593871030094326,"[0.08, 0.1)","POLYGON ((15.945954576720434 45.79650985251917, 15.945954576720434 45.80550698951359, 15.958777846855751 45.80550698951359, 15.958777846855751 45.79650985251917, 15.945954576720434 45.79650985251917))"
3034.0,49,Valletta,Malta,MLT,0.007984465438919,0.3536800257728814,"[0.0, 0.02)","POLYGON ((14.479026653637879 35.88320191277753, 14.479026653637879 35.892199049730564, 14.490061134329615 35.892199049730564, 14.490061134329615 35.88320191277753, 14.479026653637879 35.88320191277753))"
3050.0,366,Luanda,Angola,AGO,0.003141743019263,0.6630758259746189,"[0.0, 0.02)","POLYGON ((13.282003866186189 -8.8057990830389, 13.282003866186189 -8.796801946205097, 13.291050173387127 -8.796801946205097, 13.291050173387127 -8.8057990830389, 13.282003866186189 -8.8057990830389))"
3069.0,105,Bratislava,Slovakia,SVK,0.215253121519708,0.1640999741813116,"[0.2, 0.22)","POLYGON ((17.033378981067546 48.184868984217346, 17.033378981067546 48.19386612122394, 17.046788558628375 48.19386612122394, 17.046788558628375 48.184868984217346, 17.033378981067546 48.184868984217346))"
3186.0,60,N'Djamena,Chad,TCD,0.012963458658298,0.7587716175397979,"[0.0, 0.02)","POLYGON ((15.009757813022867 12.07259626307559, 15.009757813022867 12.081593399959463, 15.01889993861112 12.081593399959463, 15.01889993861112 12.07259626307559, 15.009757813022867 12.07259626307559))"
